torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2025 VCU,2025,150,VCU,A10,31,46010,91,89.3,0.5522,45.1,41.7,26.8,22.6,36.8,30.8,26.1,26.7,42.4,41.7,33.4,27.9,34.4,35.2,64.1,-13.9
2025 North Dakota,2025,211,North Dakota,Sum,31,46010,89.6,95.8,0.3168,48.1,47.2,25.6,19.1,24.7,28.1,37.5,28.6,50.5,46.3,29.2,32.5,36.1,36.4,71.2,-14.9
2025 Samford,2025,239,Samford,SC,31,46010,89.8,98.6,0.2539,45.5,48.6,23.8,20.8,25.5,37.1,34.2,26.9,43.7,47.4,32.5,34.2,36.6,30.7,69.7,-14.3
2025 Cal Baptist,2025,269,Cal Baptist,WAC,31,46010,91.7,103.9,0.1933,48.4,47.2,22.7,17.5,24.2,30.4,28.7,29.1,48.4,44.5,32.3,34.2,45.4,39.1,70.6,-13.9
2025 Boston University,2025,284,Boston University,Pat,31,46010,89.1,102.8,0.1622,46.6,47.5,25.2,21,27.3,32.7,30.2,22,45.2,47.9,33.1,31.2,31.1,38.3,66.5,-15.8
2025 Youngstown St.,2025,301,Youngstown St.,Horz,31,46010,81.6,97.4,0.1161,41.9,46.4,24.8,21.5,28.2,26.8,27.3,33.9,41.9,45.4,27.8,32.3,36.7,32.5,67.9,-16.2
2025 South Carolina St.,2025,362,South Carolina St.,MEAC,31,47150,70.2,109.1,0.0062,39.2,48.8,32.1,23.5,28.5,38.9,37.5,30.6,39.6,49,25.1,32.4,22.7,35.8,67.8,-26.4
2024 Mississippi Valley St.,2024,348,Mississippi Valley St.,SWAC,31,4–27,77.9,103.2,0.0382,36.1,48.1,24.8,24.3,28.5,42,28.4,41.4,35.7,49.3,24.6,30.5,27.4,34.3,74.4,-20.6
2024 Bradley,2024,320,Bradley,MVC,31,5–26,85.3,104.6,0.0877,44.7,50.4,23.1,17.8,21.8,33.3,25.4,27.4,43.3,51.1,31.5,32.5,33.6,30.6,69.1,-22.5
2022 Canisius,2022,321,Canisius,MAAC,31,6–25,84.9,105.5,0.0756,44.1,47.4,26.1,20.6,29.5,37.7,23.1,25.9,40.7,49.2,32.2,28.5,45,27.8,68,-22.8
2023 San Jose St.,2023,266,San Jose St.,MWC,31,6–25,83.8,94.8,0.1947,41.5,50.3,26,26.4,32.1,32,30.2,41.3,40.2,51.8,29.9,32.1,26.8,40.4,70.6,-21
2023 Weber St.,2023,305,Weber St.,BSky,31,6–25,79.8,95.5,0.1116,39.4,45.1,25.1,20.7,25.2,27.2,37.9,40.4,39.3,45.2,26.4,29.9,27,36.7,70.7,-22.1
2024 Sacramento St.,2024,297,Sacramento St.,BSky,31,6–25,84.7,100.2,0.1262,43.9,47.6,25.9,22.2,28.9,35,25,28.7,41.5,45.6,32.1,33.7,36.5,38.9,68,-22.5
2024 Marist,2024,330,Marist,MAAC,31,6–25,77,96.6,0.069,40,43.4,24.9,19.2,26.5,30.5,25.7,19.5,38.2,43.3,29.1,29,32,37.3,69.8,-23.6
