year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r3_r1_g02,Sweet 16,Region 1,2,Louisville,Region 1,11,South Dakota,0.721389651298523,0.8267465389593457
2021,r3_r1_g02,Sweet 16,Region 1,15,Marist,Region 1,3,Georgia,0.2369358092546463,0.24723939726894145
2021,r3_r1_g02,Sweet 16,Region 1,15,Marist,Region 1,14,Drexel,0.721389651298523,0.7527606027310585
2021,r3_r1_g02,Sweet 16,Region 1,15,Marist,Region 1,6,Oregon,0.2369358092546463,0.25618593727496314
2021,r3_r1_g02,Sweet 16,Region 1,15,Marist,Region 1,11,South Dakota,0.2369358092546463,0.25618593727496314
2021,r3_r1_g02,Sweet 16,Region 1,7,Northwestern,Region 1,3,Georgia,0.15117481350898743,0.17630707565700787
2021,r3_r1_g02,Sweet 16,Region 1,7,Northwestern,Region 1,14,Drexel,0.721389651298523,0.7527606027310585
2021,r3_r1_g02,Sweet 16,Region 1,7,Northwestern,Region 1,6,Oregon,0.15117481350898743,0.168027898954402
2021,r3_r1_g02,Sweet 16,Region 1,7,Northwestern,Region 1,11,South Dakota,0.6075882911682129,0.687078415340629
2021,r3_r1_g02,Sweet 16,Region 1,10,UCF,Region 1,3,Georgia,0.2369358092546463,0.24723939726894145
2021,r3_r1_g02,Sweet 16,Region 1,10,UCF,Region 1,14,Drexel,0.721389651298523,0.7527606027310585
